,index,text,token_ct,embeddings
0,0,"Integrator - Acceptance: GENERAL DESCRIPTION:

Integrator
Acceptance
You desire approval, and it influences how you interact with others—you show people you care and would love it if they’d do the same for you!",45,"[ 0.00694712 -0.01958972 -0.0014989  ... -0.02218167 -0.00245383
 -0.01720239]"
1,1,"Integrator - Acceptance: WHAT MAKES YOU UNIQUE

If you score high in Acceptance, it means you're sensitive to the feelings of others! You're kind and caring and very aware of those around you. From a person's words to body language and tone, you notice it all. It’s a powerful strength that many others don’t have, and once you master it you’ll be a force to be reckoned with!",88,"[-0.00409247 -0.01436325  0.01431045 ... -0.00493077 -0.01609265
 -0.01405962]"
2,2,"Integrator - Acceptance: WHY ACCEPTANCE MATTERS 

The Acceptance passion can influence not only what you do but also how well you do it. You will know you’ve mastered your Acceptance when you are able to use what others think—good or bad—as motivation to improve your performance. The ability to use your awareness and understanding of others is what makes Acceptance truly powerful.",78,"[ 1.09979119e-02 -1.46333147e-02  2.79041715e-02 ... -3.61544480e-05
  5.11904014e-03 -2.15111040e-02]"
3,3,"Integrator - Acceptance: HOW YOU CONNECT WITH OTHERS 

You are attentive to the needs of people around you. Whether it's your family, friends, or even a stranger, they don't have to say much for you to know what's going on. Your ability to feel what others do is a true gift! 
You like to encourage and affirm others. You look out for them, and will even go out of your way to make them feel better. People may say that you have a way with words and they are inspired by you. 
You also like it when people understand and support you. You benefit from reassurance and positivity, and appreciate those who are there for you regardless of what happens.",144,"[ 0.01001337 -0.00781902  0.00875096 ... -0.01825541 -0.00846676
 -0.01719789]"
4,4,"Integrator - Acceptance: THINGS TO KEEP IN MIND

According to motivation science, Acceptance is the passion most related to self-esteem and approval. If you score high in this passion, it means you want to please others—even at the expense of yourself. 
When your Acceptance is unmanaged, it can cause you to avoid criticism and rejection. You might find yourself avoiding (or even a little afraid of) having hard conversations with close friends or getting feedback from your boss. It can lead you to pull back! Data reveals that unmanaged Acceptance can cause you to perform inconsistently, take feedback personally, and ultimately close you off from the growth you want.",137,"[-0.00197703 -0.01827924  0.03115325 ... -0.00230987  0.00745548
 -0.01790646]"
5,5,"Integrator - Acceptance: TAKE A MOMENT AND REFLECT

Have you stopped doing something you enjoy because of someone else’s opinion? 
If you are always trying to please others even at the expense of yourself, it’s time to manage your Acceptance!",53,"[ 0.00817909 -0.03107526  0.00636593 ... -0.00077093  0.00833129
 -0.02890476]"
6,6,"Entrepreneur - Adventure: GENERAL DESCRIPTION:

Entrepreneur
Adventure
You love a challenge! You crave excitement and are always looking for a thrill—the riskier the activity, the better!",37,"[-0.01155602 -0.02816569 -0.01026228 ... -0.01902869  0.00108148
 -0.02288294]"
7,7,"Entrepreneur - Adventure: WHAT MAKES YOU UNIQUE

If you score high in Adventure, it means you’re a risk-taker! You're known to be fearless! You are often the first to volunteer for something new or exciting, and you never worry about the repercussions. You dive in without worrying about becoming sick or experiencing physical pain. When other people find something to be stressful, it gives you a thrill. You're mentally strong and tough, and you're ready for anything that comes your way!",101,"[-0.00429612 -0.02781866  0.01405759 ... -0.01788535  0.00186165
 -0.02050009]"
8,8,"Entrepreneur - Adventure: WHY ADVENTURE MATTERS

The Adventure passion increases your capacity to handle stress. You can adapt to change and balance multiple tasks without being overwhelmed. You're ready to face challenges head-on! Even if things go wrong, you can think quickly despite the stress or pressure surrounding you. This ability to be calm, cool, and collected makes you the go-to person when others are overwhelmed. You will know you have mastered your Adventure when you learn to recognize and be conscious of your own limits and those of the people around you, and your choices reflect that!",117,"[ 0.00580595 -0.02516353  0.0159431  ... -0.01372435 -0.00610488
 -0.03637684]"
9,9,"Entrepreneur - Adventure: HOW YOU CONNECT WITH OTHERS

You like to explore the unexplored. People enjoy spending time with you because you do thrilling and exciting things. (Like alpine skiing, mountain climbing, or deep sea diving!)
You like to challenge the people around you so they can have fun. And you enjoy it when people introduce you to new experiences too. 
People appreciate that they can rely on you regardless of the situation. They know you can adjust well to different environments and that last-minute changes or sudden stressors don't phase you!",113,"[ 0.00365747 -0.0181214   0.01569193 ... -0.02287412 -0.00333553
 -0.02056414]"
